id,created,superceded_id,valid,size,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position,ctr_pt_position,post_pt_to_soma_distance_nm,post_pt_location,post_pt_label,pre_pt_to_soma_distance_nm,pre_pt_location,pre_pt_label
57819238,2025-08-13 15:56:02.393871+00:00,,t,1430,80863720506844466,720575941060581236,80863720506835774,720575941086890090,[159554. 173910.   2216.],[159576. 173946.   2219.],[159590. 173920.   2215.],209708.70309413358,B1B2B3D4B5B6A7D8A9A10B11B12B13,dendrite,,,
59877891,2025-08-13 15:56:02.393871+00:00,,t,693,81074483007804974,720575941147348654,81074483008000583,720575941086890090,[161846. 169434.   1975.],[161846. 169400.   1981.],[161856. 169426.   1980.],198060.40085644848,B1B2B3D4B5B6A7D8A9A10B11A12A13,dendrite,,,
54930130,2025-08-13 15:56:02.393871+00:00,,t,52,80582039707122020,720575940990652508,80582039707151414,720575941086890090,[155208. 170994.   2810.],[155176. 170998.   2818.],[155190. 170994.   2815.],183039.0472486556,B1B2B3D4B5B6A7D8A9A10A11B12,dendrite,,,
47456528,2025-08-13 15:56:02.393871+00:00,,t,40,80018883058634378,720575941122057672,80018883058656818,720575941086890090,[146894. 167950.   1844.],[146888. 167922.   1849.],[146892. 167936.   1846.],96592.59579414941,B1B2B3D4B5B6A7D8B9A10,dendrite,,,
41621450,2025-08-13 15:56:02.393871+00:00,,t,17,79455108605500379,720575941057797960,79455108605523447,720575941086890090,[139104. 156304.   2053.],[139070. 156310.   2060.],[139084. 156312.   2056.],61832.314254959725,B1B2A3C4A5,dendrite,,,
58927674,2025-08-13 15:56:02.393871+00:00,,t,45,80933745519478324,720575941099035357,80933745519406382,720575941086890090,[159770. 169210.   1959.],[159804. 169232.   1954.],[159788. 169228.   1956.],181657.52078470823,B1B2B3D4B5B6A7D8A9A10B11A12,dendrite,,,
59877304,2025-08-13 15:56:02.393871+00:00,,t,79,81004114330508709,720575941124406090,81004114330425015,720575941086890090,[160966. 169350.   2000.],[160972. 169332.   1993.],[160976. 169348.   1996.],190340.01925823308,B1B2B3D4B5B6A7D8A9A10B11A12A13,dendrite,,,
45381324,2025-08-13 15:56:02.393871+00:00,,t,110,79807502216450519,720575941092501571,79807502216414729,720575941086890090,[144240. 164286.   2301.],[144192. 164294.   2299.],[144226. 164296.   2298.],85777.57257108332,B1B2B3B4B5,dendrite,,,
48191088,2025-08-13 15:56:02.393871+00:00,,t,175,80088495955357411,720575941076282491,80088495955328835,720575941086890090,[147714. 157298.   1877.],[147746. 157272.   1873.],[147734. 157292.   1876.],54533.952272178314,B1A2C3B4A5,dendrite,,,
49366988,2025-08-13 15:56:02.393871+00:00,,t,179,80158521035037611,720575941099109354,80158521035037713,720575941086890090,[148550. 151734.   1743.],[148528. 151742.   1747.],[148542. 151738.   1746.],67910.06708140037,A1A2A3B4,dendrite,,,
47462055,2025-08-13 15:56:02.393871+00:00,,t,187,80018539527893460,720575941140433285,80018539461396059,720575941086890090,[147038. 163410.   1860.],[147032. 163394.   1853.],[147048. 163404.   1856.],70582.16804277143,B1B2B3D4B5B6A7A8,dendrite,,,
47236117,2025-08-13 15:56:02.393871+00:00,,t,210,80018470540324566,720575940986070579,80018470540250500,720575941086890090,[146492. 162202.   1467.],[146518. 162236.   1462.],[146512. 162230.   1464.],60462.346029696804,B1B2B3D4B5A6,dendrite,,,
51093559,2025-08-13 15:56:02.393871+00:00,,t,213,80300220730358899,720575941100644702,80300220730330124,720575941086890090,[150812. 166332.   2029.],[150788. 166344.   2021.],[150810. 166334.   2025.],108016.3130069406,B1B2B3D4B5B6A7D8A9A10,dendrite,,,
48332224,2025-08-13 15:56:02.393871+00:00,,t,228,80089457759577978,720575941113039790,80089457759603318,720575941086890090,[147878. 171248.   1414.],[147916. 171236.   1419.],[147904. 171240.   1416.],132628.89787551996,B1B2B3D4B5B6A7D8B9A10B11,dendrite,,,
50149617,2025-08-13 15:56:02.393871+00:00,,t,742,80229439333493624,720575940999515142,80229439333496094,720575941086890090,[150426. 160480.   1348.],[150390. 160490.   1350.],[150406. 160470.   1351.],78002.88004012727,B1A2C3B4B5B6,dendrite,,,
41712538,2025-08-13 15:56:02.393871+00:00,,t,278,79525202203215393,720575941095583660,79525202203201848,720575941086890090,[139872. 151778.   1489.],[139832. 151746.   1492.],[139850. 151760.   1491.],84942.44310398081,B1B2A3A4B5,dendrite,,,
46326333,2025-08-13 15:56:02.393871+00:00,,t,275,79877733186146547,720575941097683267,79877733186108468,720575941086890090,[145300. 162260.   1665.],[145320. 162258.   1658.],[145308. 162244.   1662.],48462.63267372249,B1B2B3D4,dendrite,,,
52267680,2025-08-13 15:56:02.393871+00:00,,t,328,80370658194048532,720575941087475153,80370658194077001,720575941086890090,[152114. 167146.   2043.],[152138. 167138.   2049.],[152130. 167144.   2046.],118430.99757329257,B1B2B3D4B5B6A7D8A9A10,dendrite,,,
53093463,2025-08-13 15:56:02.393871+00:00,,t,362,80511464603046386,720575941130925768,80511464603072395,720575941086890090,[153722. 168428.   2377.],[153708. 168462.   2379.],[153722. 168450.   2377.],152370.5751043928,B1B2B3D4B5B6A7D8A9A10A11,dendrite,,,
46290726,2025-08-13 15:56:02.393871+00:00,,t,420,79948033479166941,720575941131818185,79948033479147444,720575941086890090,[145588. 161106.   2164.],[145602. 161150.   2162.],[145622. 161122.   2166.],68238.05696786617,B1B2B3B4A5,dendrite,,,
48309137,2025-08-13 15:56:02.393871+00:00,,t,445,80089320522016763,720575941063288332,80089320522040468,720575941086890090,[147668. 168784.   1769.],[147666. 168824.   1768.],[147684. 168804.   1770.],104886.55322518584,B1B2B3D4B5B6A7D8B9A10,dendrite,,,
39862088,2025-08-13 15:56:02.393871+00:00,,t,503,79384877233035610,720575941103431241,79384877233045754,720575941086890090,[137468. 158184.   1883.],[137510. 158206.   1885.],[137490. 158200.   1885.],61040.52043252351,B1B2A3C4B5,dendrite,,,
48270088,2025-08-13 15:56:02.393871+00:00,,t,539,80088633193095512,720575941107126702,80088633193098494,720575941086890090,[147724. 158602.   1523.],[147752. 158642.   1525.],[147746. 158612.   1527.],49570.87794390871,B1A2C3B4B5,dendrite,,,
47321601,2025-08-13 15:56:02.393871+00:00,,t,1368,80018745619589676,720575941099024478,80018745619586547,720575941086890090,[147008. 166452.   1820.],[147044. 166480.   1822.],[147060. 166446.   1820.],84840.28104566547,B1B2B3D4B5B6A7D8B9,dendrite,,,
47230510,2025-08-13 15:56:02.393871+00:00,,t,1532,80018676899886280,720575941099024478,80018676899933338,720575941086890090,[146614. 164806.   1756.],[146626. 164770.   1761.],[146652. 164790.   1760.],71545.67786815307,B1B2B3D4B5B6A7D8,dendrite,,,
54141767,2025-08-13 15:56:02.393871+00:00,,t,611,80511464468937871,720575941109400492,80511464468922213,720575941086890090,[154052. 167880.   2153.],[154020. 167856.   2158.],[154038. 167860.   2157.],135816.53169162918,B1B2B3D4B5B6A7D8A9A10B11,dendrite,,,
42564488,2025-08-13 15:56:02.393871+00:00,,t,269,79595914545246869,720575941081188632,79595914611708278,720575941086890090,[141160. 157038.   1595.],[141174. 157022.   1601.],[141154. 157016.   1599.],37222.756815719644,B1B2A3A4B5,dendrite,,,
48332269,2025-08-13 15:56:02.393871+00:00,,t,9,80089457759590737,720575941087117521,80089457759643487,720575941086890090,[147988. 171408.   1420.],[147974. 171440.   1422.],[147976. 171420.   1421.],132218.00488253924,B1B2B3D4B5B6A7D8B9A10B11,dendrite,,,
58847531,2025-08-13 15:56:02.393871+00:00,,t,34,81004457994821814,720575941056834033,81004457928288430,720575941086890090,[160872. 174658.   2118.],[160850. 174648.   2111.],[160872. 174636.   2115.],221915.73225551014,B1B2B3D4B5B6A7D8A9A10B11B12A13,dendrite,,,
50345715,2025-08-13 15:56:02.393871+00:00,,t,51,80229714882913079,720575941120436424,80229714882990158,720575941086890090,[149696. 163650.   2740.],[149730. 163656.   2748.],[149714. 163656.   2744.],121245.99721943167,B1B2B3D4B5B6A7A8,dendrite,,,
61803215,2025-08-13 15:56:02.393871+00:00,,t,60,81144851818978420,720575941147728558,81144851818987768,720575941086890090,[163640. 169012.   2055.],[163632. 168986.   2062.],[163638. 169000.   2060.],211031.36320945426,B1B2B3D4B5B6A7D8A9A10B11A12A13,dendrite,,,
46326624,2025-08-13 15:56:02.393871+00:00,,t,66,79948101930170945,720575941069077581,79948033210718942,720575941086890090,[145770. 161544.   1622.],[145736. 161520.   1627.],[145754. 161542.   1626.],48473.33583262646,B1B2B3D4A5,dendrite,,,
41600124,2025-08-13 15:56:02.393871+00:00,,t,75,79524927526774209,720575941109814506,79524927526774171,720575941086890090,[139380. 147892.   1919.],[139414. 147892.   1923.],[139400. 147904.   1920.],107034.0620097103,B1A2A3A4B5,dendrite,,,
42577114,2025-08-13 15:56:02.393871+00:00,,t,223,79525202136146684,720575941101999840,79525202136165345,720575941086890090,[140244. 151518.   1437.],[140238. 151522.   1445.],[140248. 151526.   1441.],67162.30312694133,A1B2,axon,,,
38028773,2025-08-13 15:56:02.393871+00:00,,t,108,79244690238484111,720575941075318051,79244690171939238,720575941086890090,[135442. 165770.   3264.],[135434. 165796.   3258.],[135446. 165784.   3260.],134376.2560097637,B1B2C3B4,dendrite,,,
39087232,2025-08-13 15:56:02.393871+00:00,,t,132,79244621385221661,720575941089400643,79244621385216033,720575941086890090,[136008. 165226.   3102.],[136030. 165264.   3099.],[136022. 165250.   3100.],123640.12653030221,B1B2C3B4,dendrite,,,
52157951,2025-08-13 15:56:02.393871+00:00,,t,135,80370452639589731,720575941105590089,80370452639552021,720575941086890090,[152002. 164112.   3179.],[152022. 164156.   3175.],[152014. 164136.   3178.],150254.10633608932,B1B2B3D4B5B6A7A8,dendrite,,,
45459469,2025-08-13 15:56:02.393871+00:00,,t,165,79807845947921695,720575941046229425,79807845947920857,720575941086890090,[143748. 168760.   2521.],[143784. 168750.   2527.],[143764. 168750.   2524.],120505.71968637798,B1B2B3D4B5B6B7,dendrite,,,
45368465,2025-08-13 15:56:02.393871+00:00,,t,1540,79807364643096915,720575941153215877,79807364643051317,720575941086890090,[144202. 162440.   1994.],[144238. 162430.   1996.],[144234. 162430.   1994.],65501.982121196794,B1B2B3B4B5,dendrite,,,
45557954,2025-08-13 15:56:02.393871+00:00,,t,186,79807433429671509,720575941099648324,79807433429693821,720575941086890090,[144200. 163214.   2128.],[144178. 163190.   2130.],[144188. 163202.   2129.],74822.46239463601,B1B2B3B4B5,dendrite,,,
46326464,2025-08-13 15:56:02.393871+00:00,,t,213,79948101930310944,720575941069077581,79948101930307875,720575941086890090,[145524. 162116.   1667.],[145488. 162128.   1662.],[145508. 162130.   1665.],47483.13269817371,B1B2B3D4B5,dendrite,,,
49433536,2025-08-13 15:56:02.393871+00:00,,t,216,80089732973176541,720575941154099845,80089732973179318,720575941086890090,[148292. 175656.   2042.],[148316. 175626.   2045.],[148306. 175636.   2044.],172750.95015584698,B1B2B3D4B5B6A7D8B9A10A11B12A13,dendrite,,,
48205278,2025-08-13 15:56:02.393871+00:00,,t,291,80018676900046119,720575941100477790,80018676900042472,720575941086890090,[147362. 164874.   1801.],[147380. 164908.   1801.],[147368. 164882.   1800.],75480.24718548673,B1B2B3D4B5B6A7D8,dendrite,,,
40676477,2025-08-13 15:56:02.393871+00:00,,t,293,79455039886183972,720575941034129072,79455039886206953,720575941086890090,[138542. 154458.   2105.],[138596. 154462.   2100.],[138576. 154474.   2098.],74441.48057071438,B1B2A3A4A5A6,dendrite,,,
41712626,2025-08-13 15:56:02.393871+00:00,,t,116,79525202203245721,720575941162706380,79525202203252467,720575941086890090,[140054. 151512.   1505.],[140032. 151508.   1508.],[140048. 151514.   1507.],86565.4889009542,B1B2A3A4B5,dendrite,,,
43456618,2025-08-13 15:56:02.393871+00:00,,t,303,79666214569636546,720575941172916455,79666214569602114,720575941086890090,[142058. 156148.   1544.],[142030. 156170.   1542.],[142046. 156164.   1543.],25692.69250527867,A1B2,axon,,,
46254059,2025-08-13 15:56:02.393871+00:00,,t,307,79947758467298556,720575941090251423,79947758467352321,720575941086890090,[145430. 157000.   1965.],[145430. 156970.   1968.],[145430. 156988.   1967.],37500.22865474983,B1A2C3A4,dendrite,,,
43538582,2025-08-13 15:56:02.393871+00:00,,t,369,79667245965726314,720575941141720453,79667245965712211,720575941086890090,[141406. 171714.   2690.],[141418. 171672.   2687.],[141412. 171692.   2688.],153821.73633288156,B1B2B3D4B5B6B7,dendrite,,,
48188931,2025-08-13 15:56:02.393871+00:00,,t,399,80089389174097985,720575941100376926,80089389174097972,720575941086890090,[148186. 169766.   1603.],[148144. 169776.   1602.],[148172. 169780.   1601.],117188.19797529104,B1B2B3D4B5B6A7D8B9A10,dendrite,,,
48309057,2025-08-13 15:56:02.393871+00:00,,t,440,80089251802574839,720575941100376926,80089251802583146,720575941086890090,[147570. 168566.   1773.],[147528. 168568.   1773.],[147546. 168572.   1771.],104561.19689696725,B1B2B3D4B5B6A7D8B9A10,dendrite,,,
